label,area,area_convex,centroid,solidity,volume_um,surface_area_um,sphericity,ellipsoid_r_axis_major,ellipsoid_r_axis_medium,ellipsoid_r_axis_minor,aspect_ratio_minor_per_medium,aspect_ratio_medium_per_major,aspect_ratio_minor_per_major,prolate_ratio,oblate_ratio,img_name,organoid,date,magnification,spacing_x_um,spacing_y_um,spacing_z_um,count,relative_z_position,organoid_center,distance_to_organoid_center_um,neighborhood_density,nuc_count_per_organoid
1,12256.0,13852.0,"(34.90567885117493, 73.92966710182768, 122.59676892950391)",0.8847819809413803,416.853817344,325.6055044050414,0.8287971360420766,18.997898973370418,13.016714486836186,12.370071171175905,0.9503220788691161,0.6851660020448509,0.6511283794337037,0.44613102855453346,0.6187816751541161,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.09616567000758022,"(98.20537939743954, 111.61960555516578, 114.92037620333)",23.9985611409807,1,20
2,10635.0,13471.0,"(36.56417489421721, 91.82952515279737, 89.2251998119417)",0.7894736842105263,361.72000224,340.45471074458294,0.7211182055196111,17.697237601052745,13.521021282763238,11.664740706861092,0.8627115114249133,0.7640187461775911,0.6591277672718368,0.5035859703218638,0.5686371123252147,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.10686564447882069,"(98.20537939743954, 111.61960555516578, 114.92037620333)",22.56754189398914,0,20
3,10877.0,12258.0,"(37.46235175140204, 100.6475131010389, 133.59418957433115)",0.8873388807309512,369.950960448,311.0873310867854,0.8011206115795573,20.08566126904974,13.955651214712331,9.615766775551538,0.6890231510955506,0.6948066597248046,0.47873787408575885,0.3326302631772802,0.3298614785513545,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.11266033388001317,"(98.20537939743954, 111.61960555516578, 114.92037620333)",20.89439180093567,1,20
4,18279.0,19643.0,"(59.769899885114064, 59.27189671207397, 85.91482028557361)",0.9305605050145089,621.7094424960001,435.1749602657589,0.809490708988995,24.992884023131865,17.443149306954762,10.221659054835877,0.5859984842737312,0.6979246288987884,0.40898277467199634,0.28543915123894975,0.23966328605185483,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.25657999925880043,"(98.20537939743954, 111.61960555516578, 114.92037620333)",23.044785518104398,0,20
5,8150.0,10556.0,"(56.90613496932515, 111.64552147239264, 67.7320245398773)",0.7720727548313755,277.1996256,303.0466070462195,0.6784270018082782,26.311492527191845,10.347328764718771,8.390142781798758,0.8108510875199579,0.3932627065539985,0.31887749329035175,0.12540262607051822,0.2585621622201198,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.2381040965762913,"(98.20537939743954, 111.61960555516578, 114.92037620333)",20.317587125209865,1,20
6,18294.0,20050.0,"(66.73166065376626, 73.5721001421231, 155.1898436645895)",0.9124189526184538,622.219625856,453.9613522533082,0.7764158281089152,27.406652222012433,17.22993559622647,9.538903692100053,0.55362387391565,0.6286771349033194,0.3480506708673674,0.21881149856207477,0.19268916072453285,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.3014945848630081,"(98.20537939743954, 111.61960555516578, 114.92037620333)",20.64426111720931,0,20
7,26475.0,32083.0,"(74.68808309726157, 144.47595845136922, 154.02742209631728)",0.8252033787364025,900.4736304,625.2931515528234,0.721186826753272,26.01517322784452,21.446095694721965,12.874265052697488,0.6003081043728596,0.8243687446127713,0.49487523838272673,0.40795967900551444,0.2970776162546018,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.35282634256297785,"(98.20537939743954, 111.61960555516578, 114.92037620333)",18.218955863194534,0,20
8,19147.0,20929.0,"(84.01932417611114, 132.1628453543636, 72.37906721679637)",0.9148549859047255,651.232052928,455.6152865384238,0.7974614221960138,25.589878104690527,18.25306598699714,10.11339954403006,0.5540657964658924,0.7132924163343873,0.39521093076939323,0.28190095977026275,0.21897285912877051,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.41302789791039446,"(98.20537939743954, 111.61960555516578, 114.92037620333)",15.981550295766864,0,20
9,9609.0,11012.0,"(100.40774274118014, 161.01842023103342, 96.30242481007389)",0.8725935343261896,326.823460416,325.9232273643938,0.704008055200635,22.01766372033732,16.75839472160239,6.566435812442273,0.39182964248824004,0.7611341028032398,0.29823490338700076,0.22699675561407573,0.11685727557164333,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.518759630588259,"(98.20537939743954, 111.61960555516578, 114.92037620333)",17.119104728664652,1,20
10,11014.0,11921.0,"(101.82785545669148, 174.3981296531687, 133.5254221899401)",0.9239157788776109,374.610635136,295.2388645134697,0.8511981413348387,18.439817442266243,14.00602410927832,10.443314535086436,0.7456301983778709,0.7595532956402733,0.5663458745068226,0.43016987545392976,0.422284586759011,20231108_P021N_A003,P021N_A003,20231108,40x,0.324,0.324,0.324,20,0.5279216481076869,"(98.20537939743954, 111.61960555516578, 114.92037620333)",21.24712148874283,1,20
